id	ObjecttypeVanID	AttribuutVan1ID	DomeinwaardeVan1ID	AttribuutVan2ID	DomeinwaardeVan2ID	AttribuutVan3ID	DomeinwaardeVan3ID	AttribuutVan4ID	DomeinwaardeVan4ID	InformatiemodelNaarID	ObjecttypeNaarID	AttribuutNaar1ID	DomeinwaardeNaar1ID	AttribuutNaar2ID	DomeinwaardeNaar2ID	AttribuutNaar3ID	DomeinwaardeNaar3ID	Toelichting
1811	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_665									IMGeo	FunctioneelGebied (IG)	bor-type	opvangzone					
1819	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_396									IMGeo	FunctioneelGebied (IG)	bor-type	sluis					
1820	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_114									IMGeo	FunctioneelGebied (IG)	plus-type	recreatie: speeltuin					
1822	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_120									IMGeo	FunctioneelGebied (IG)	bor-type	sportveld					
1826	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_89									IMGeo	Tunneldeel (IG)							
1830	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_401	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_523	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_3117							IMGeo	FunctioneelGebied (IG)	plus-type	functioneel beheer: hondenuitlaatplaats					
1831	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_873									IMGeo	FunctioneelGebied (IG)	plus-type	infrastructuur verkeer en vervoer 					
1838	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_477									IMGeo	FunctioneelGebied (IG)	bor-type	waterbeheergebied					
1847	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_772									IMGeo	FunctioneelGebied (IG)	bor-type	zone					
1856	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_868									IMGeo	GebouwInstallatie	plus-type	toegangstrap					
1859	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_737									IMGeo	Installatie (IG)	bor-type	beregeningsinstallatie					
1860	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_623									IMGeo	Installatie (IG)	bor-type	brandblusinstallatie					
1861	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_306									IMGeo	Installatie (IG)	bor-type	energieaansluiting					
1862	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_504									IMGeo	Installatie (IG)	bor-type	hydrant					
1866	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_140									IMGeo	Installatie (IG)	plus-type	pomp					
1868	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_757									IMGeo	Installatie (IG)	bor-type	tunnelventilatie					
1869	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_599									IMGeo	Installatie (IG)	plus-type	zonnepaneel					
1871	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_490	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_8313							IMGeo	Kast (IG)	plus-type	CAI-kast 					
1874	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_490	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_8306							IMGeo	Kast (IG)	plus-type	gaskast 					
1875	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_490	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_8307							IMGeo	Kast (IG)	plus-type	GMS Kast 					
